DOI,Title,Authors,Abstract,Journal,Date
10.1158/2159-8290.CD-25-0323,Development and Prospective Validation of a Cell-free DNA-based Model for the Early Detection of Pancreatic Cancer.,"Wang X, Wang H, Zhang M, Li H, Liu Y, Huang H, Pei J, Huang J, Zang F, Zhang Y, Chen X, Gao S, Zhao T, Wang J, Ma W, Liang Y, Shi S, Li S, Li W, Zhou T, Zhang Y, Cui X, Ye ZX, Sun Y, Peng L, Hu X, Li Z, Zhang H, Zhu D, Chang S, Zhang J, Yang R, Bao H, Wu X, Shao Y, Yu J, Gao C, Cui Y, Hao J","Pancreatic cancer (PC) remains a highly lethal malignancy due to late-stage diagnosis and limited therapeutic options. This study presents the development and validation of a non-invasive circulating cell-free DNA (cfDNA)-based model for early PC detection. In a case-control study comprising 232 PC patients and 235 healthy controls, the model demonstrated high diagnostic accuracy (AUC=0.9799 in training; 0.9622 in validation). A prospective cohort study involving 1,926 individuals with diabetes and obesity, established risk factors for PC, further assessed its clinical applicability. The model detected 75% of PC cases, including all Stage 0 patients, with a lead time of up to 298 days, significantly outperforming CA19-9. Additionally, it demonstrates potential for distinguishing high-risk from low-risk pancreatic cysts, thereby facilitating more precise risk stratification. This study highlights the potential of cfDNA-based screening as a scalable, non-invasive tool for early PC detection, warranting further large-scale clinical validation to enhance patient outcomes.",Cancer discovery,22/09/2025
10.1038/s41593-025-02056-4,A bottom-up septal inhibitory circuit mediates anticipatory control of drinking.,"Xu L, Sun Y, Huang C, Zheng Y, Chen J, Ma X, Shi Q, Liu M, Qiu X, Zhao Q, Gao C, Liao J, Wang Y, Chen Z","Drinking behavior is not only homeostatically regulated but also rapidly adjusted before any changes in blood osmolality occur, known as anticipatory thirst satiation. Homeostatic and anticipatory signals converge in the subfornical organ (SFO); however, the neural pathways conveying peripheral information to the SFO before changes in blood composition are incompletely understood. Here we reveal an inhibitory pathway from the medial septum (MS) to the SFO that is involved in the control of anticipatory drinking behavior in mice. MS γ-aminobutyric acid (GABA)ergic neurons encode water-satiation signals by integrating cues from the oral cavity and tracking gastrointestinal signals. These neurons receive inputs from the parabrachial nucleus and relay to SFO(CaMKII) neurons, forming a bottom-up pathway with activity that prevents overhydration. Disruption of this circuit leads to excessive water intake and hyponatremia. Our findings reveal a septal pathway that integrates multiple layers of presystemic signals to fine-tune drinking behavior.",Nature neuroscience,22/09/2025
10.1038/s42255-025-01365-z,The Neurolipid Atlas: a lipidomics resource for neurodegenerative diseases.,"Feringa FM, Koppes-den Hertog SJ, Wang LY, Derks RJE, Kruijff I, Erlebach L, Heijneman J, Miramontes R, Pömpner N, Blomberg N, Olivier-Jimenez D, Johansen LE, Cammack AJ, Giblin A, Toomey CE, Rose IVL, Yuan H, Ward ME, Isaacs AM, Kampmann M, Kronenberg-Versteeg D, Lashley T, Thompson LM, Ori A, Mohammed Y, Giera M, van der Kant R","Lipid alterations in the brain have been implicated in many neurodegenerative diseases. To facilitate comparative lipidomic research across brain diseases, we establish a data common named the Neurolipid Atlas that we prepopulated with isogenic induced pluripotent stem cell (iPS cell)-derived lipidomics data for different brain diseases. Additionally, the resource contains lipidomics data of human and mouse brain tissue. Leveraging multiple datasets, we demonstrate that iPS cell-derived neurons, microglia and astrocytes exhibit distinct lipid profiles that recapitulate in vivo lipotypes. Notably, the Alzheimer disease (AD) risk gene ApoE4 drives cholesterol ester (CE) accumulation specifically in human astrocytes and we also observe CE accumulation in whole-brain lipidomics from persons with AD. Multiomics interrogation of iPS cell-derived astrocytes revealed that altered cholesterol metabolism has a major role in astrocyte immune pathways such as the immunoproteasome and major histocompatibility complex class I antigen presentation. Our data commons, available online ( https://neurolipidatlas.com/ ), allows for data deposition by the community and provides a user-friendly tool and knowledge base for a better understanding of lipid dyshomeostasis in neurodegenerative diseases.",Nature metabolism,22/09/2025
10.1038/s42255-025-01360-4,A consensus guide to preclinical indirect calorimetry experiments.,"Banks AS, Allison DB, Alquier T, Ansarullah, Austad SN, Auwerx J, Ayala JE, Baur JA, Carobbio S, Churchill GA, Dall M, de Cabo R, Donato J Jr, Dragano NRV, Elias CF, Ferrante AW Jr, Finck BN, Galgani JE, Gerhart-Hines Z, Goodyear LJ, Grobe JL, Gupta RK, Habegger KM, Hartig SM, Hevener AL, Heymsfield SB, Holman CD, de Angelis MH, James DE, Kazak L, Kim JB, Klingenspor M, Kong X, Kooijman S, Lantier L, Lloyd KCK, Lo JC, Lodhi IJ, MacLean PS, McGuinness OP, Medina-Gómez G, Mirmira RG, Morrison CD, Morton GJ, Müller TD, Ogawa Y, Pajuelo-Reguera D, Potthoff MJ, Qi N, Reitman ML, Rensen PCN, Rozman J, Rutkowsky JM, Sakamoto K, Scherer PE, Schwartz GJ, Sedlacek R, Selloum M, Shaikh SR, Chen S, Shulman GI, Škop V, Soukas AA, Speakman JR, Spiegelman BM, Steinberg GR, Svensson KJ, Thyfault JP, Tiganis T, Titchenell PM, Turner N, Velloso LA, Vidal-Puig A, Ward CS, Williams AS, Wolfrum C, Xu AW, Xu Y, Zierath JR","Understanding the complex factors influencing mammalian metabolism and body weight homeostasis is a long-standing challenge requiring knowledge of energy intake, absorption and expenditure. Using measurements of respiratory gas exchange, indirect calorimetry can provide non-invasive estimates of whole-body energy expenditure. However, inconsistent measurement units and flawed data normalization methods have slowed progress in this field. This guide aims to establish consensus standards to unify indirect calorimetry experiments and their analysis for more consistent, meaningful and reproducible results. By establishing community-driven standards, we hope to facilitate data comparison across research datasets. This advance will allow the creation of an in-depth, machine-readable data repository built on shared standards. This overdue initiative stands to markedly improve the accuracy and depth of efforts to interrogate mammalian metabolism. Data sharing according to established best practices will also accelerate the translation of basic findings into clinical applications for metabolic diseases afflicting global populations.",Nature metabolism,01/09/2025
10.1038/s41392-025-02399-1,An aptamer-drug conjugate for promising cancer therapy with comprehensive evaluation from rodents to non-human primates.,"Su M, Liu Y, Lin H, Wang X, Ying D, Zhang L, Yang C, Jiang M, Xu L, Wang X, Sun Y, Xu H, Zhang Z, Wang X, Fu T, Xie S, He J, Liu X, Tan W","Aptamers serve as unique targeting ligands, making aptamer-drug conjugates (ApDCs) an attractive strategy for targeted cancer therapy. This study performs a comprehensive evaluation from rodents to non-human primates (NHP) of a protein tyrosine kinase 7 (PTK7)-targeted ApDC (Sgc8c-M) made by conjugating the potent antimitotic agent monomethyl auristatin E (MMAE) to the classic PTK7 aptamer Sgc8c. Efficacy studies in various cancer types with PTK7 overexpression showed that Sgc8c-M effectively induces sustained tumor regression in cell line-derived and patient-derived xenografts, outperforming unconjugated MMAE, the chemotherapy drug paclitaxel, and a PTK7-targeted antibody-drug conjugate. Pharmacokinetic (PK) studies in mice revealed that Sgc8c-M leads to rapid accumulation and sustained MMAE levels in tumors, along with fast clearance from plasma and normal tissues. Further study in rats confirmed rapid clearance across most organs and revealed that over 75% of MMAE was excreted through urine and feces within 24 h. Toxicokinetic (TK) assessments indicated comparable systemic drug exposure without accumulation for repeated doses compared to single administration. Toxicity evaluations showed that the therapeutic dose with high efficacy was safe and that the toxicity resulting from extremely high doses could be reversibly controlled. Encouraged by these findings, we evaluated PK/TK profiles and safety of Sgc8c-M in cynomolgus monkeys. Similar to PK/TK profiles observed in rats, Sgc8c-M demonstrated good dose-dependent drug exposure. It was, moreover, well tolerated in monkeys with no obvious accumulation following multiple administrations. These findings highlight the potential of Sgc8c-M as an effective antitumor agent and provide useful insights for the clinical translation of emerging ApDCs.",Signal transduction and targeted therapy,24/09/2025
10.1073/pnas.2514948122,PPT1 is a negative regulator of STING signaling in cancer cells and its inhibition reactivates immune surveillance in cold tumors.,"Chowdhury SR, Parikh CN, Kaur AN, DeMarco KD, Giwa HK, Mishra AK, Murphy KC, Zhou L, Ma B, Ye T, Li J, Liu H, Bai S, Johnson C, Simin K, Pitarresi JR, Zhu LJ, Watson EV, Kelliher MA, Green MR, Fitzgerald KA, Ruscetti M","Immunotherapy modalities have revolutionized cancer treatment for a number of metastatic and treatment-refractory tumor types. Still, many malignancies that lack T cell infiltration and are termed immunologically ""cold"" fail to respond to these modalities. One approach to increase tumor immunogenicity has been to induce stimulator of interferon gene (STING) and downstream interferon signaling that is often dysregulated in cold tumors. Despite some early success of STING agonists in preclinical cancer models, these approaches have not been successful in the clinic due to poor tumor penetrance and systemic toxicities. Here, we performed a genome-wide CRISPR screen to uncover therapeutic targets to activate STING expression in human tumors. We identified the lysosomal hydrolase Palmitoyl Protein Thioesterase1 (PPT1) as a negative regulator of STING highly expressed in cold ovarian and prostate tumors. Genetic or pharmacological PPT1 suppression increased STING protein stability and its downstream activation of interferon and inflammatory cytokine signaling to enhance T cell migration. Treatment of preclinical prostate and ovarian cancer models expressing low levels of STING with the small molecule PPT1 inhibitor GNS561 enhanced STING expression and activation, leading to infiltration and activation of cytotoxic T cells that turned these tumors ""hot"" and reduced tumor growth, fibrosis, and dissemination without toxicity. Further analysis demonstrated that PPT1 is associated with reduced STING expression, CD8(+) T cell numbers, overall survival, and immunotherapy outcomes in ovarian and prostate cancer patients. Thus, PPT1 inhibition may be a promising approach to activate STING and potentiate the effects of immunotherapy in cold tumors.",Proceedings of the National Academy of Sciences of the United States of America,30/09/2025
10.1093/eurheartj/ehaf763,EP4/ANXA2 axis in pulmonary arterial hypertension: therapeutic implications.,"Xu H, Ye L, Du C, Tang H, Zheng Q, Zhu C, Liang B, Wang Y, Mao X, Liang Q, Zhang J, Shao H, Sun X, Yuan R, Yun W, Luo C, Xiu J, Su W, Fan F, Dai Z, Chen L, Guan Y, Zhang X","BACKGROUND AND AIMS: Pulmonary arterial hypertension (PAH) is a progressive condition marked by the abnormal proliferation of pulmonary artery smooth muscle cells (PASMCs), leading to significant remodelling of the pulmonary arteries (PAs). The cyclooxygenase metabolite of arachidonic acid prostaglandin E2 and its receptor EP4 are crucial for maintaining vascular homeostasis. This study aimed to determine the role of EP4 in the pathogenesis of PAH and evaluate the potential of EP4 as a therapeutic target for PAH. METHODS: Two well-established PAH models, the monocrotaline-induced rat model and hypoxia/Su5416-induced mouse model, were used in this study. Both pharmacological interventions (including the EP4 antagonist grapiprant and MF498 and the agonist Cay10598) and genetic strategies (including vascular smooth muscle cell [VSMC]-specific EP4 knockout mice and VSMC-specific human EP4 transgenic mice) were used to comprehensively investigate the role of EP4 in the pathogenesis of PAH. Multiple cellular and molecular biology approaches were employed to investigate the underlying mechanisms. RESULTS: The results showed that the pharmacological blockade of the EP4 receptor and genetic deletion of the EP4 gene in VSMCs led to a significant improvement in PAH and PA remodelling. Conversely, pharmacological activation and VSMC-specific overexpression of EP4 exacerbate PAH progression. Further analysis identified annexin A2 (ANXA2) as a critical downstream mediator in EP4-induced PAH progression. Mechanistically, EP4 activation was found to enhance the translation of ANXA2 and phosphorylation of ANXA2 at Thr208 via the cAMP/PKA pathway, promoting PASMC proliferation and migration through increased nuclear translocation of β-catenin, a key signalling molecule in the canonical Wnt pathway. Importantly, pharmacological inhibition or genetic deletion of ANXA2 effectively protected PAH in rodents, suggesting its pathogenic role in PAH development. CONCLUSIONS: This study reveals a crucial pathway involving EP4 and ANXA2 in PAH development and progression. Targeting EP4 and its downstream effector ANXA2 represents promising therapeutic strategies for PAH management.",European heart journal,25/09/2025
10.1111/epi.17410,Drug resistance in idiopathic generalized epilepsies: Evidence and concepts.,"Gesche J, Beier CP","Although approximately 10%-15% of patients with idiopathic generalized epilepsy (IGE)/genetic generalized epilepsy remain drug-resistant, there is no consensus or established concept regarding the underlying mechanisms and prevalence. This review summarizes the recent data and the current hypotheses on mechanisms that may contribute to drug-resistant IGE. A literature search was conducted in PubMed and Embase for studies on mechanisms of drug resistance published since 1980. The literature shows neither consensus on the definition nor a widely accepted model to explain drug resistance in IGE or one of its subsyndromes. Large-scale genetic studies have failed to identify distinct genetic causes or affected genes involved in pharmacokinetics. We found clinical and experimental evidence in support of four hypotheses: (1) ""network hypothesis""-the degree of drug resistance in IGE reflects the severity of cortical network alterations, (2) ""minor focal lesion in a predisposed brain hypothesis""-minor cortical lesions are important for drug resistance, (3) ""interneuron hypothesis""-impaired functioning of γ-aminobutyric acidergic interneurons contributes to drug resistance, and (4) ""changes in drug kinetics""-genetically impaired kinetics of antiseizure medication (ASM) reduce the effectiveness of available ASMs. In summary, the exact definition and cause of drug resistance in IGE is unknown. However, published evidence suggests four different mechanisms that may warrant further investigation.",Epilepsia,01/12/2022
10.1186/s12933-025-02826-1,The association between triglyceride-glucose index and all-cause/cardiovascular mortality in patients with different glucose metabolism statuses.,"Liu J, Kang J, Liang P, Song Z, Li G, Jin X, Wu H","OBJECTIVES: The triglyceride-glucose index (TyG) is an emerging marker of metabolic health, yet its association with mortality across different glucose metabolism statuses remains unclear. This study aimed to investigate the relationship between the TyG and the risk of all-cause and cardiovascular mortality among individuals with normoglycemia, dysglycemia, and diabetes mellitus. METHODS: Participants from nine cycles of the National Health and Nutrition Examination Survey (NHANES) were included and categorized into three groups: normoglycemia, dysglycemia, and diabetes. Cox regression and restricted cubic spline (RCS) analyses were performed to evaluate the linear and nonlinear associations between TyG and mortality. To assess the predictive power of TyG and the atherogenic index of plasma (AIP) for mortality, time-dependent receiver operating characteristic (ROC) curves were constructed. Subgroup analyses were conducted based on age, sex, and blood pressure status. RESULTS: During a median follow-up of 9.2 years, a total of 2199 all-cause deaths and 606 cardiovascular deaths were documented. In the normoglycemic group, a single standard unit increase in TyG was associated with a 35% higher risk of all-cause mortality and a 38% higher risk of cardiovascular mortality (HR: 1.35, 95% CI 1.17-1.56; HR: 1.38, 95% CI 1.04-1.84, respectively). Among participants with diabetes, RCS analysis revealed a U-shaped association between TyG and all-cause/cardiovascular mortality, with an inflection point at 9.1. No significant associations were observed in the dysglycemia group. TyG demonstrated superior predictive performance compared to the AIP for 3-year mortality in both normoglycemic and diabetic individuals. Subgroup analyses identified significant interaction effects of age and sex on the association between TyG and mortality. CONCLUSION: TyG was associated with an increased risk of all-cause and cardiovascular death in the normoglycemic subgroup, but not in the dysglycemic subgroup. In the diabetes subgroup, the association between the TyG and mortality was nonlinear. The predictive value of TyG across different glucose metabolism statuses provides new evidence for medical practice.",Cardiovascular diabetology,24/09/2025
10.1111/jdv.70067,Effectiveness and safety of baricitinib in severe alopecia areata: 48-week results.,"Piraccini BM, Cedirian S, Pampaloni F, Rapparini L, Quadrelli F, Bruni F, Ala L, Acri MC, Rossi A, Pellacani G, Lacarrubba F, Dall'Oglio F, Micali G, Foggia L, Cantelli M, Nappa P, Diluvio L, Bianchi L, Luigi N, Bolzon A, Peris K, Caldarola G, Girolomoni G, Marangoni F, Bellinato F, Gisondi P, Silvi G, Prignano F, Pimpinelli N, Tomasini C, Barruscotti S, Simonetti O, de Simoni E, Ambrogio F, Foti C, Boccaletti V, Fraghì A, Marzano AV, Mattioli MA, Ferrucci S, Sechi A, Valtellini L, Barbareschi M, Gallo G, Ribero S, Quaglino P, Di Corteranzo IG, Balestri R, Pagliarello C, Caposiena RD, Zalaudek I, Vagnozzi E, Fargnoli MC, Caponio C, Rubegni P, Cinotti E, Trovato E, Romanelli M, Dini V, Manzo Margiotta F, Feliciani C, De Felici Del Giudice MB, Atzori L, Sanna S, Lembo S, Raimondo A, Magnano M, Argenziano G, Babino G, Fulgione E, Rongioletti F, Pesce N, Guida S, Guglielmo A, Schettini N, Starace M","BACKGROUND: Alopecia areata (AA) is an autoimmune condition leading to hair loss. Baricitinib, a Janus kinase (JAK) inhibitor, has demonstrated efficacy in controlled clinical trials, but real-world data on its long-term effectiveness and safety remain limited. OBJECTIVES: This study aimed to assess the real-life effectiveness and safety of baricitinib 4 mg daily in Italian adult patients with severe AA over a 48-week treatment period. METHODS: We conducted a 48-week retrospective, observational, multicenter study across 27 Italian university hospitals. Adult patients (18-65 years) with severe AA (Severity of Alopecia Tool [SALT] score ≥ 50) who initiated baricitinib 4 mg daily treatment between November 2022 and October 2023 were included. Effectiveness was measured by the percentage of patients achieving SALT ≤20 at week 48. Secondary outcomes included changes in mean SALT score, trichoscopic findings, patient-reported quality of life (Skindex-16, Hospital Anxiety and Depression Scale [HADS]), and Clinician-Reported Outcomes (ClinRO) for eyebrows and eyelashes. Adverse events were also documented. RESULTS: A total of 253 patients (66.8% females, mean age 40.0 ± 12.6 years) were included. By week 48, 63.2% achieved SALT ≤20, and 75.5% achieved SALT ≤30. The mean SALT score significantly decreased from 93.7 ± 14.1 at baseline to 26.5 ± 33.0 at week 48 (p < 0.001). Trichoscopic assessment showed a decline in yellow dots (97.6%-50.2%), black dots (43.5%-9.1%), and dystrophic hairs (14.6%-4.3%), whilst regrowing hairs increased (7.1%-80.2%). Skindex-16 scores improved significantly (57.1 ± 25.0 to 30.0 ± 17.8, p < 0.001), as did HADS Anxiety (8.21 ± 9.38 to 4.62 ± 4.21, p < 0.001) and HADS Depression (6.36 ± 4.55 to 3.70 ± 4.11, p < 0.001). Adverse events were reported in 9.4% of patients. CONCLUSION: This real-world study confirms the effectiveness of baricitinib in achieving significant hair regrowth and improving psychological well-being in severe AA patients.",Journal of the European Academy of Dermatology and Venereology : JEADV,23/09/2025
10.1186/s13102-021-00259-3,The influence of athletic performance on the highest positions of the final ranking during 2017/2018 Serie A season.,"Longo UG, Sofi F, Candela V, Risi Ambrogioni L, Pagliai G, Massaroni C, Schena E, Cimmino M, D'Ancona F, Denaro V","BACKGROUND: Our previous study on the 2016/2017 Serie A season showed that a greater likelihood of reaching the top positions in the Italian league ""Serie A"" seemed to be mainly related to sprint activity, goal attempts, total throws, target shots and assists. Therefore, we aim to evaluate the following season data in the same league to compare, confirm, and improve these results. METHODS: The data of all the matches played during the ""Serie A"" 2017-2018 season were obtained from the Italian soccer league. The teams' analysis was performed in terms of total distance covered in km, jogging, running and sprint activities, average speed, and match statistics (total shots, shots on target, goal attempts, assists, turnovers, and steals). RESULTS: Teams that reached the first four positions revealed a lower percentage of running (65.98 ± 1.51 vs. 66.84 ± 2.18; p < 0.001), a higher percentage of jogging (25.61 ± 1.71 vs. 25.30 ± 1.97; p = 0.037) and sprint activities (8.41 ± 1.04 vs. 7.86 ± 0.82; p < 0.001). Match statistics seem to be statistically different between the first four teams the other teams. The total goals are strongly associated both with the total score at the end of the championship (R = 0.906; p < 0.001) and with the position in the final ranking (R = 0.850; p < 0.001). CONCLUSIONS: Our results suggest that high-level teams have a lower running rate and a higher percentage of jogging and sprinting than other teams.","BMC sports science, medicine & rehabilitation",25/03/2021
10.3390/biom14040437,Roles of Epigenetics and Glial Cells in Drug-Induced Autism Spectrum Disorder.,"Csoka AB, El Kouhen N, Bennani S, Getachew B, Aschner M, Tizabi Y","Autism spectrum disorder (ASD) is a neurodevelopmental disorder characterized by severe deficits in social communication and interaction, repetitive movements, abnormal focusing on objects, or activity that can significantly affect the quality of life of the afflicted. Neuronal and glial cells have been implicated. It has a genetic component but can also be triggered by environmental factors or drugs. For example, prenatal exposure to valproic acid or acetaminophen, or ingestion of propionic acid, can increase the risk of ASD. Recently, epigenetic influences on ASD have come to the forefront of investigations on the etiology, prevention, and treatment of this disorder. Epigenetics refers to DNA modifications that alter gene expression without making any changes to the DNA sequence. Although an increasing number of pharmaceuticals and environmental chemicals are being implicated in the etiology of ASD, here, we specifically focus on the molecular influences of the abovementioned chemicals on epigenetic alterations in neuronal and glial cells and their potential connection to ASD. We conclude that a better understanding of these phenomena can lead to more effective interventions in ASD.",Biomolecules,03/04/2024
10.1038/s41467-025-64035-4,Macrophage ferroptosis potentiates GCN2 deficiency induced pulmonary venous arterialization.,"Zhang J, Mao P, Zhou T, Yue B, Li Y, Qiu Y, Ying K, Wang F, Chen J, Yang J","Pulmonary veno-occlusive disease (PVOD) is a fatal disease characterized by the remodelling of pulmonary veins and haemosiderin accumulation in macrophages. Although (General Control Nonderepressible 2) GCN2 deficiency has been reported in PVOD patients, the underlying mechanism by which GCN2 deficiency affects the pulmonary venous cells and the surrounding cells, remains unclear. Here, we perform immunohistochemistry and scRNA-sequencing analyses to show that macrophages are the major population affected by GCN2 deficiency and ferroptosis pathway-related genes are upregulated in lung macrophages of PVOD patients. Treatment with the specific ferroptosis inhibitor ferrostatin-1 (Fer-1) reverses the changes in haemodynamic indices observed in Eif2ak4(K1488X/K1488X) hypoxia mice and PVOD model rats. Furthermore, GCN2 deficiency increases HMOX1 and iron levels to facilitate ferroptosis in macrophages, and enhances arterial marker expression in venous endothelial cells (VECs). Specifically, spatial transcriptome analysis shows increased expression of NRP1, KDR and EFNB2 through ETS1 in VECs from PVOD patients. Our findings suggest the potential of targeting macrophage ferroptosis as a therapeutic strategy for treating related vascular diseases, and of using NRP1/KDR/EFNB2 expression as a specific marker set for venous arterialization.",Nature communications,22/09/2025
10.4088/JCP.16f10721,Use of acetaminophen (paracetamol) during pregnancy and the risk of attention-deficit/hyperactivity disorder in the offspring.,Andrade C,"Prenatal exposure to acetaminophen may result in compromised neurodevelopment through inflammatory and immunologic mechanisms, through predisposition to oxidative stress, and through endocrine, endogenous cannabinoid, and other mechanisms. Several small and large prospective studies have found an association between gestational acetaminophen exposure and attention-deficit/hyperactivity disorder (ADHD)-like behaviors, use of ADHD medication, and ADHD diagnoses in offspring during childhood; the only negative study was a small investigation that examined only one aspect of attention as an outcome. Creditably, most of the studies adjusted analyses for many (but not all) confounds associated with ADHD risk. Importantly, one pivotal study also adjusted for pain, infection, inflammation, and fever to reduce confounding by indication; this study found a dose-dependent risk. In the light of the finding of a single study that infection and fever during pregnancy by themselves do not raise the ADHD risk, it appears possible that the use of acetaminophen during pregnancy is itself responsible for the increased risk of ADHD. This suggests that acetaminophen may not be as safe in pregnancy as is widely believed. However, since fever during pregnancy may itself be associated with adverse gestational outcomes, given the present level of uncertainty about the ADHD risk with acetaminophen, it is suggested that, until more data are available, the use of acetaminophen in pregnancy should not be denied in situations in which the need for the drug is clear.",The Journal of clinical psychiatry,01/03/2016
10.1038/s41564-025-02119-z,Genome-resolved metagenomics reveals microbiome diversity across 48 tick species.,"Du LF, Shi W, Cui XM, Fan H, Jiang JF, Bian C, Ye RZ, Wang Q, Zhang MZ, Yuan TT, Xia LY, Ruan XD, Chang QC, Du CH, Que TC, Wang X, Han XH, Yang TC, Jiang BG, Chen JY, Wang XR, Tan LF, Liu YW, Deng LL, Liu Y, Zhu Y, Pan YS, Wang N, Lin ZT, Li LF, Li C, Shen SJ, Liu YT, Tian D, Han XY, Wang J, Wang YF, Gao WY, Li YY, Xiong T, Wang TH, Shi XY, Zhu DY, Zhu JG, Wang CC, Shi WQ, Zhan L, Liu ZH, Feng D, Zhao L, Sun Y, Wang J, Jia N, Zhao F, Cao WC","Ticks are arthropod vectors capable of transmitting a wide spectrum of pathogens affecting humans and animals. However, we have relatively limited information of their genomic characteristics and the diversity of associated microbiomes. Here we used long- and short-read sequencing on 1,479 samples from 48 tick species across eight genera from China to determine their genome and associated pathogens and microbiome. Through de novo assembly, we reconstructed 7,783 bacterial genomes representing 1,373 bacterial species, of which, 712 genomes represented 32 potentially pathogenic species. Computational analysis found nutritional endosymbionts to be prevalent and highly specific to tick genera. The microbiome genome-wide association study revealed host genetic variants linked to pathogen diversity, abundance and key biological pathways essential to tick biology, including blood-feeding and pathogen invasion. These findings provide a resource for studying the host-microbe interactions within ticks, paving the way for strategies to control tick populations and tick-borne diseases.",Nature microbiology,23/09/2025
10.1001/jama.2025.15185,Levodopa Added to Stroke Rehabilitation: The ESTREL Randomized Clinical Trial.,"Engelter ST, Kaufmann JE, Zietz A, Luft AR, Polymeris A, Altersberger VL, Wiesner K, Wiegert M, Held JPO, Rottenberger Y, Schwarz A, Medlin F, Accolla EA, Foucras S, Kägi G, De Marchis GM, Politz S, Greulich M, Tarnutzer AA, Sturzenegger R, Katan M, Fischer U, Nedeltchev K, Schär J, Van Den Keybus Deglon K, Rapin PA, Salerno A, Seiffge DJ, Auer E, Lippert J, Bonati LH, Schuster-Amft C, Gäumann S, Chabwine JN, Humm A, Möller JC, Schweinfurther R, Bujan B, Jedrysiak P, Sandor PS, Gonzenbach R, Mylius V, Lutz D, Lienert C, Peters N, Michel P, Müri RM, Schädelin S, Hemkens LG, Ford GA, Lyrer PA, Gensicke H, Traenka C","IMPORTANCE: Levodopa enhances dopaminergic signaling and may stimulate neuroplasticity, which could potentially enhance motor recovery after stroke. Levodopa is used in stroke rehabilitation despite mixed evidence for its effectiveness. OBJECTIVE: To determine whether levodopa compared with placebo, administered in addition to standardized rehabilitation based on active task-oriented training, is associated with enhanced motor recovery in patients with acute stroke. DESIGN, SETTING, AND PARTICIPANTS: A double-blind, placebo-controlled randomized clinical trial at 13 stroke units and centers and 11 collaborating rehabilitation centers in Switzerland. Between June 14, 2019 (first patient, first visit), and August 27, 2024 (last patient, last visit), 610 patients with acute ischemic or hemorrhagic stroke with clinically meaningful hemiparesis (ie, a total score of ≥3 points on the following National Institutes of Health Stroke Scale items: motor arm, motor leg, or limb ataxia) were randomized 1:1 to receive levodopa or placebo. Statistical analyses were conducted from November 2024 to August 2025. INTERVENTION: Patients received levodopa/carbidopa (100 mg/25 mg; n = 307) or placebo (n = 303) 3 times daily for 39 days, alongside standardized rehabilitation therapy based on active task-oriented training. MAIN OUTCOMES AND MEASURES: The primary outcome was the adjusted mean between-group difference in the Fugl-Meyer Assessment (FMA) total score (range, 0-100 points; fewer points indicate worse motor function; 6-point difference considered patient-relevant) at 3 months. RESULTS: Among the 610 participants (median [IQR] age, 73 [64-82] years; 252 [41.3%] female; median baseline FMA total score, 34 [14-54]), 28 participants died by 3 months, leaving 582 (95.4%) participants eligible for the primary analysis. At 3 months, the median (IQR) FMA total score was 68 (42-85) points in the levodopa group and 64 (44-83) points in the placebo group. The mean difference in the FMA total score between the levodopa and placebo groups was -0.90 points (95% CI, -3.78 to 1.98; P = .54). There were 126 serious adverse events in the levodopa group and 129 in the placebo group; the most common was infection (levodopa, n = 55; placebo, n = 44). CONCLUSIONS AND RELEVANCE: In this randomized clinical trial, among patients receiving inpatient rehabilitation for acute stroke, levodopa added to standardized rehabilitation did not significantly improve motor function at 3 months compared with placebo plus standardized rehabilitation. These results do not support the use of levodopa as an adjunct to rehabilitation therapy for enhancing motor recovery after acute stroke. TRIAL REGISTRATION: ClinicalTrials.gov Identifier: NCT03735901.",JAMA,22/09/2025
